[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/testimonios-misioneros/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/testimonios-plenariadsa-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/unidos-en-oracion/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/videoclips-nuevo-tiempo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/yo-conozco-mi-historia-series/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/yo-pienso-asi/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/dsa/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for associated posts for term with URL: https://www.adventistas.org/es/mujer/regional-headquarter/dsa/ have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/ua/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/ub/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/uch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/ue/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/up/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/upn/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/ups/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/uu/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/aac/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:30 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/aan/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:31 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/aas/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:31 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/abo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:31 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/acsch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:31 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/amch/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:31 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/regional-headquarter/anop/  have been purged, triggered by action: edit_terms 
