[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-1er-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-1er-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-2do-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-2do-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-2do-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-3er-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-3er-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-3er-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-4to-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-4to-2014/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-4to-2015/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-4to-2016/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/probad-y-ved/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/probad-y-ved-2012/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/probad-y-ved-2013/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:35 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/probad-y-ved-2014/  have been purged, triggered by action: edit_terms 
